0ad,com.play0ad.zeroad
musixmatch,com.musixmatch.Musixmatch
natron,fr.natron.Natron
neochat,org.kde.neochat
netbeans,org.apache.netbeans
newsflash,com.gitlab.newsflash
nift,cc.nift.nsm
nitrokey-app,com.nitrokey.nitrokey-app
node,org.freedesktop.Sdk.Extension.node18
nongnu-gsequencer,org.nongnu.gsequencer.gsequencer
nordpass,com.nordpass.NordPass
noson,io.github.janbar.noson
notepad-plus-plus,com.github.dail8859.NotepadNext
notepadqq,com.notepadqq.Notepadqq
notesnook,com.notesnook.Notesnook
nyrna,codes.merritt.Nyrna
obfuscate,com.belmoussaoui.Obfuscate
obs-studio,com.obsproject.Studio
obsidian,md.obsidian.Obsidian
octave,org.octave.Octave
okteta,org.kde.okteta
okular,org.kde.okular
onekey-wallet,so.onekey.Wallet
onionshare,org.onionshare.OnionShare
onlyoffice-desktopeditors,org.onlyoffice
openboard,ch.openboard.OpenBoard
openra,net.openra.OpenRA
openscad,org.openscad.OpenSCAD
openspades,jp.yvt.OpenSpades
opentoonz,io.github.OpenToonz
opentoonz-morevna,io.github.OpenToonz
openttd,org.openttd.OpenTTD
opentyrian,com.github.opentyrian.OpenTyrian
opera,com.opera.Opera
othman-browser,com.github.ojubaorg.Othman
palapeli,org.kde.palapeli
parley,org.kde.parley
passy,io.github.glitterware.Passy
pcsx2-tabetai,net.pcsx2.PCSX2
pdfarranger,com.github.jeromerobert.pdfarranger
pdfmixtool,eu.scarpetta.PDFMixTool
peruse,org.kde.peruse
phpstorm,com.jetbrains.PhpStorm
picard,org.musicbrainz.Picard
pick-colour-picker,org.kryogenix.Pick
picmi,org.kde.picmi
pinta,com.github.PintaProject.Pinta
pixelorama,com.orama_interactive.Pixelorama
plex-desktop,tv.plex.PlexDesktop
plex-htpc,tv.plex.PlexHTPC
plots,com.github.alexhuntley.Plots
poedit,net.poedit.Poedit
postman,com.getpostman.Postman
powertabeditor,com.github.powertab.powertabeditor
prusa-slicer,com.prusa3d.PrusaSlicer
puddletag-snap,net.puddletag.puddletag
pycharm-community,com.jetbrains.PyCharm-Community
pycharm-professional,com.jetbrains.PyCharm-Professional
pymol-oss,org.pymol.PyMOL
qalculate,io.github.Qalculate
qalculate-qt,io.github.Qalculate.qalculate-qt
qownnotes,org.qownnotes.QOwnNotes
